state,suburb,count,home_care_places,residential_places,restorative_care_places,total,hcp_perc,rp_perc,rcp_perc,total_perc
NSW,BONDI,1,0,56,0,56,0,2.579848618168584e-4,0,2.5107491447760725e-4
NSW,BONDI JUNCTION,5,0,0,0,0,0,0,0,0
NSW,BONNELLS BAY,1,0,124,0,124,0,5.712521940230436e-4,0,5.559515963432732e-4
NSW,BONNYRIGG,1,0,88,0,88,0,4.0540478285506316e-4,0,3.945462941790971e-4
NSW,BOORAGUL,3,0,63,3,66,0,2.902329695439657e-4,6.141248720573184e-4,2.9590972063432285e-4
NSW,BOOROWA,2,0,25,0,25,0,1.1517181331109749e-4,0,1.1208701539178896e-4
NSW,BOSSLEY PARK,2,0,213,0,213,0,9.812638494105506e-4,0,9.549813711380419e-4
NSW,BOTANY,1,0,170,0,170,0,7.83168330515463e-4,0,7.621917046641649e-4
NSW,BOURKE,2,0,27,0,27,0,1.2438555837598528e-4,0,1.2105397662313206e-4
NSW,BOWENFELS,1,0,62,0,62,0,2.856260970115218e-4,0,2.779757981716366e-4
NSW,BOWRAL,11,0,193,0,193,0,8.891263987616726e-4,0,8.653117588246107e-4
NSW,BRAIDWOOD,1,2,27,0,29,0.0018365472910927456,1.2438555837598528e-4,0,1.3002093785447518e-4
NSW,BREWARRINA,1,4,12,0,16,0.0036730945821854912,5.52824703893268e-5,0,7.173568985074493e-5
NSW,BRIGHTON LE SANDS,1,0,60,0,60,0,2.7641235194663397e-4,0,2.690088369402935e-4
NSW,Broadmeadow,1,0,0,0,0,0,0,0,0
NSW,BROKEN HILL,12,0,219,16,235,0,0.0010089050846052142,0.0032753326509723643,0.001053617944682816
NSW,BRONTE,1,0,105,0,105,0,4.8372161590660946e-4,0,4.7076546464551363e-4
NSW,BROOKVALE,2,0,69,0,69,0,3.178742047386291e-4,0,3.093601624813375e-4
NSW,BROULEE,2,0,80,0,80,0,3.68549802595512e-4,0,3.5867844925372463e-4
NSW,BULAHDELAH,1,0,57,0,57,0,2.625917343493023e-4,0,2.555583950932788e-4
NSW,BUNDANOON,1,0,90,0,90,0,4.14618527919951e-4,0,4.0351325541044023e-4
NSW,BUNDARRA,1,0,11,0,11,0,5.0675597856882895e-5,0,4.931828677238714e-5
NSW,BURRADOO,6,0,160,5,165,0,7.37099605191024e-4,0.0010235414534288639,7.397743015858071e-4
NSW,BURWOOD,5,0,147,0,147,0,6.772102622692532e-4,0,6.59071650503719e-4
NSW,BURWOOD HEIGHTS,1,0,64,0,64,0,2.948398420764096e-4,0,2.8694275940297973e-4
NSW,BYRON BAY,3,0,81,0,81,0,3.731566751279559e-4,0,3.631619298693962e-4
NSW,CABRAMATTA,3,0,329,0,329,0,0.001515661063174043,0,0.0014750651225559426
NSW,CAMDEN,1,0,176,0,176,0,8.108095657101263e-4,0,7.890925883581942e-4
NSW,CAMERON PARK,1,0,120,0,120,0,5.528247038932679e-4,0,5.38017673880587e-4
NSW,CAMPBELLTOWN,7,0,60,0,60,0,2.7641235194663397e-4,0,2.690088369402935e-4
NSW,CAMPSIE,14,0,148,21,169,0,6.818171348016972e-4,0.004298874104401228,7.577082240484934e-4
NSW,CANLEY VALE,2,0,177,0,177,0,8.154164382425703e-4,0,7.935760689738658e-4
NSW,CANOWINDRA,2,0,63,0,63,0,2.902329695439657e-4,0,2.8245927878730817e-4
NSW,CARCOAR,1,0,22,0,22,0,1.0135119571376579e-4,0,9.863657354477428e-5
NSW,CARDIFF,6,0,63,0,63,0,2.902329695439657e-4,0,2.8245927878730817e-4
NSW,CARDIFF HEIGHTS,1,0,60,0,60,0,2.7641235194663397e-4,0,2.690088369402935e-4
NSW,CAREY BAY,1,0,91,0,91,0,4.192254004523949e-4,0,4.079967360261118e-4
NSW,CARLINGFORD,1,0,74,0,74,0,3.409085674008486e-4,0,3.317775655596953e-4
NSW,CARLTON,3,0,0,0,0,0,0,0,0
NSW,CARRAMAR,2,0,175,0,175,0,8.062026931776825e-4,0,7.846091077425227e-4
NSW,CARSS PARK,1,0,0,0,0,0,0,0,0
NSW,CASINO,4,0,167,0,167,0,7.693477129181313e-4,0,7.487412628171502e-4
NSW,CASTLE HILL,19,0,861,0,861,0,0.003966517250434198,0,0.0038602768100932114
NSW,CATALINA,2,0,92,0,92,0,4.238322729848388e-4,0,4.1248021664178335e-4
NSW,CAVES BEACH,1,0,50,0,50,0,2.3034362662219498e-4,0,2.2417403078357792e-4
NSW,CESSNOCK,7,0,500,53,553,0,0.0023034362662219497,0.010849539406345957,0.0024793647804663716
NSW,CHARLESTOWN,2,0,112,0,112,0,5.159697236337168e-4,0,5.021498289552145e-4
NSW,CHARMHAVEN,1,0,40,0,40,0,1.84274901297756e-4,0,1.7933922462686232e-4
NSW,CHATSWOOD,15,0,260,0,260,0,0.0011977868584354138,0,0.0011657049600746051
NSW,CHERRYBROOK,2,0,182,0,182,0,8.384508009047898e-4,0,8.159934720522236e-4
NSW,CHESTER HILL,5,0,141,0,141,0,6.495690270745899e-4,0,6.321707668096897e-4
NSW,CHIPPING NORTON,1,0,152,0,152,0,7.002446249314728e-4,0,6.814890535820768e-4
NSW,CHISWICK,1,0,114,0,114,0,5.251834686986046e-4,0,5.111167901865576e-4
NSW,CLEMTON PARK,1,0,144,0,144,0,6.633896446719215e-4,0,6.456212086567044e-4
NSW,COBAR,2,0,33,0,33,0,1.5202679357064869e-4,0,1.4795486031716142e-4
NSW,COFFS HARBOUR,18,0,516,27,543,0,0.0023771462267410523,0.005527123848515865,0.002434529974309656
NSW,COLEAMBALLY,2,0,19,0,19,0,8.75305781164341e-5,0,8.51861316977596e-5
NSW,COLLARENEBRI,1,2,10,0,12,0.0018365472910927456,4.6068725324439e-5,0,5.38017673880587e-5
NSW,COLLAROY,2,0,176,0,176,0,8.108095657101263e-4,0,7.890925883581942e-4
NSW,COLLAROY PLATEAU,1,0,48,0,48,0,2.211298815573072e-4,0,2.152070695522348e-4
NSW,CONCORD,2,0,215,0,215,0,9.904775944754385e-4,0,9.63948332369385e-4
NSW,CONCORD WEST,1,0,0,90,90,0,0,0.01842374616171955,4.0351325541044023e-4
NSW,CONDOBOLIN,3,0,77,0,77,0,3.5472918499818027e-4,0,3.4522800740670995e-4
NSW,CONISTON,1,0,60,0,60,0,2.7641235194663397e-4,0,2.690088369402935e-4
NSW,COOGEE,1,0,0,0,0,0,0,0,0
NSW,COOLAH,1,7,20,0,27,0.006427915518824609,9.2137450648878e-5,0,1.2105397662313206e-4
NSW,COOLAMON,3,0,47,0,47,0,2.1652300902486328e-4,0,2.1072358893656324e-4
NSW,COOMA,4,0,112,53,165,0,5.159697236337168e-4,0.010849539406345957,7.397743015858071e-4
NSW,COONABARABRAN,4,0,78,0,78,0,3.593360575306242e-4,0,3.497114880223815e-4
NSW,COONAMBLE,2,4,48,0,52,0.0036730945821854912,2.211298815573072e-4,0,2.3314099201492104e-4
NSW,COORANBONG,4,0,163,0,163,0,7.509202227883557e-4,0,7.30807340354464e-4
NSW,COOTAMUNDRA,2,0,116,0,116,0,5.343972137634924e-4,0,5.200837514179007e-4
NSW,CORAKI,1,0,49,0,49,0,2.257367540897511e-4,0,2.1969055016790636e-4
NSW,CORLETTE,1,0,150,0,150,0,6.91030879866585e-4,0,6.725220923507338e-4
NSW,COROWA,2,0,115,0,115,0,5.297903412310484e-4,0,5.156002708022292e-4
NSW,CORRIMAL,2,0,105,0,105,0,4.8372161590660946e-4,0,4.7076546464551363e-4
NSW,COWRA,6,0,177,0,177,0,8.154164382425703e-4,0,7.935760689738658e-4
NSW,CROMER,2,0,0,0,0,0,0,0,0
NSW,CRONULLA,4,0,228,0,228,0,0.0010503669373972092,0,0.0010222335803731152
NSW,CROOKWELL,2,0,45,0,45,0,2.073092639599755e-4,0,2.0175662770522012e-4
NSW,CROWS NEST,1,0,0,0,0,0,0,0,0
NSW,CROYDON,3,0,185,0,185,0,8.522714185021215e-4,0,8.294439138992382e-4
NSW,CULBURRA BEACH,2,0,80,0,80,0,3.68549802595512e-4,0,3.5867844925372463e-4
NSW,CULCAIRN,1,2,28,0,30,0.0018365472910927456,1.289924309084292e-4,0,1.3450441847014674e-4
NSW,CUNDLETOWN,2,0,115,0,115,0,5.297903412310484e-4,0,5.156002708022292e-4
NSW,DACEYVILLE,2,0,58,0,58,0,2.671986068817462e-4,0,2.6004187570895037e-4
NSW,DALMENY,3,0,205,0,205,0,9.444088691509994e-4,0,9.191135262126694e-4
NSW,DAPTO,2,0,89,0,89,0,4.1001165538750707e-4,0,3.9902977479476867e-4
NSW,DARETON,1,0,0,0,0,0,0,0,0
NSW,DARLINGHURST,4,0,198,34,232,0,9.121607614238921e-4,0.006960081883316274,0.0010401675028358015
NSW,DEAN PARK,1,0,114,0,114,0,5.251834686986046e-4,0,5.111167901865576e-4
NSW,DELEGATE,1,4,10,0,14,0.0036730945821854912,4.6068725324439e-5,0,6.276872861940181e-5
NSW,DENHAMS BEACH,1,0,130,0,130,0,5.988934292177069e-4,0,5.828524800373026e-4
NSW,DENILIQUIN,4,0,110,0,110,0,5.06755978568829e-4,0,4.931828677238714e-4
NSW,DENMAN,3,0,30,0,30,0,1.3820617597331698e-4,0,1.3450441847014674e-4
NSW,DOONSIDE,1,0,71,0,71,0,3.2708794980351686e-4,0,3.1832712371268065e-4
NSW,DORRIGO,1,6,21,0,27,0.005509641873278237,9.67443231813219e-5,0,1.2105397662313206e-4
NSW,DRUMMOYNE,3,0,294,0,294,0,0.0013544205245385064,0,0.001318143301007438
NSW,DUBBO,16,0,600,0,600,0,0.00276412351946634,0,0.002690088369402935
NSW,DULWICH HILL,1,0,38,0,38,0,1.750611562328682e-4,0,1.703722633955192e-4
NSW,DUNDAS,1,0,66,0,66,0,3.0405358714129737e-4,0,2.9590972063432285e-4
NSW,DUNEDOO,1,1,25,0,26,9.182736455463728e-4,1.1517181331109749e-4,0,1.1657049600746052e-4
NSW,DUNGOG,2,0,65,0,65,0,2.9944671460885346e-4,0,2.914262400186513e-4
NSW,DURAL,2,0,155,0,155,0,7.140652425288045e-4,0,6.949394954290915e-4
NSW,EARLWOOD,2,0,94,0,94,0,4.3304601804972656e-4,0,4.2144717787312647e-4
NSW,EASLAKES,1,0,0,0,0,0,0,0,0
