lga_new,ages60andUp,ages65andUp,ages70andUp,ages75andUp,ages80andUp,ages85andUp
LOWER EYRE PENINSULA,1369,979,621,323,171,64
LOXTON WAIKERIE,3531,2686,1807,1108,644,333
MACDONNELL,634,340,183,85,58,23
MACEDON RANGES,11315,8242,5393,3012,1589,767
MACKAY,22657,15835,10599,6451,3662,1694
MAITLAND,16195,11858,8034,4796,2719,1359
MANDURAH,24757,19523,14120,8840,4923,2263
MANJIMUP,2500,1824,1260,767,430,226
MANNINGHAM,32967,25795,19448,13285,8011,3983
MANSFIELD,2944,2197,1479,813,404,180
MAPOON,45,23,11,7,2,1
MARALINGA TJARUTJA,3,1,0,0,0,0
MARANOA,2629,1908,1323,850,491,269
MAREEBA,5943,4391,3027,1835,937,438
MARIBYRNONG,12476,8862,6039,3988,2538,1385
MARION,21794,16240,11420,7587,4873,2796
MAROONDAH,24800,18620,13249,8476,5134,2680
MCKINLAY,151,96,58,31,16,6
MEANDER VALLEY,5808,4360,3008,1827,1033,502
MEEKATHARRA,149,78,37,10,4,1
MELBOURNE,16067,11382,7487,4355,2499,1375
MELTON,20039,13630,8226,4449,2315,1027
MELVILLE,25869,19608,13875,9260,5972,3422
MENZIES,57,34,12,2,0,0
MERREDIN,803,568,393,252,146,86
MID-COAST,36133,28328,20099,12335,6979,3517
MID-WESTERN REGIONAL,6392,4818,3388,2063,1096,510
MID MURRAY,3186,2358,1522,847,423,211
MILDURA,13647,10173,7081,4604,2753,1425
MINGENEW,98,60,36,24,16,2
MITCHAM,16889,13078,9442,6265,3890,2249
MITCHELL,8834,6301,4139,2418,1295,644
MOIRA,9587,7434,5231,3270,1880,903
MONASH,41818,32746,24649,17131,10609,5499
MOONEE VALLEY,26569,20158,14676,9968,6236,3231
MOORA,541,395,277,160,92,47
MOORABOOL,7383,5381,3499,1934,1019,499
MORAWA,183,124,86,55,30,11
MOREE PLAINS,2717,2000,1337,793,414,187
MORELAND,30509,23406,17761,12814,8552,4462
MORETON BAY,97382,72917,49262,28704,15654,7640
MORNINGTON,106,62,50,24,16,7
MORNINGTON PENINSULA,51429,40482,29331,18470,10736,5339
